5.0442,7.9068,19.451
5.0442,7.9068,20.482
5.2107,9.4359,20.852
5.7538,14.001,21.998
5.7556,14.001,20.967
6.0593,16.569,22.642
6.061,16.618,21.618
6.2524,18.257,22.026
6.2717,8.9057,20.805
6.3129,8.9393,19.786
6.3847,19.305,23.329
7.3237,26.293,25.181
7.3312,26.375,24.165
7.4573,16.411,22.69
7.4776,16.463,21.673
7.5515,9.9473,20.113
7.552,9.9476,21.141
7.6029,28.42,24.704
7.7556,29.507,26.033
8.5343,34.811,26.455
8.5347,34.81,27.492
8.6742,10.77,21.367
9.0308,25.566,24.039
9.0322,25.487,25.052
9.1416,38.977,27.597
9.3142,40.116,28.952
9.6709,16.33,22.739
9.7231,11.538,20.549
9.7238,11.538,21.577
9.8142,11.598,21.592
9.8142,11.598,20.565
10.198,11.853,20.629
10.199,11.853,21.657
10.273,46.159,30.654
10.276,46.279,29.647
10.857,50.015,30.696
10.96,12.303,20.74
11.007,12.331,21.774
11.279,24.576,24.839
11.469,53.799,31.764
11.489,53.821,32.812
11.83,16.374,22.75
12.248,13.065,20.927
12.248,13.065,21.954
12.476,43.702,28.981
12.487,60.111,34.584
12.511,43.579,29.985
12.741,61.658,33.981
12.827,62.18,34.125
12.83,62.179,35.151
13.316,13.571,22.084
13.316,13.571,21.058
13.319,13.572,21.058
13.364,13.593,22.09
13.403,23.891,23.589
13.461,23.782,24.592
13.56,66.592,36.36
13.572,66.684,35.371
13.796,66.267,35.269
13.804,66.135,36.27
13.817,68.171,35.783
14.012,16.412,22.749
14.37,14.069,21.187
14.37,14.069,22.212
14.467,72.063,37.859
14.796,41.017,29.215
15.307,77.053,39.137
15.317,77.104,38.111
15.379,77.478,39.246
15.473,78.036,38.354
15.596,23.098,23.333
15.596,14.538,21.331
15.596,14.538,22.354
15.648,22.98,24.334
15.706,76.247,37.904
15.746,76.118,38.902
15.818,14.654,21.365
15.834,14.663,22.391
16.063,14.782,21.404
16.063,14.782,22.427
16.169,61.884,34.029
16.18,14.843,21.422
16.18,14.843,22.445
16.234,61.734,35.024
16.531,15.025,21.478
16.531,15.025,22.501
16.777,85.579,41.145
16.902,38.7,27.427
16.97,86.666,40.357
16.986,38.552,28.421
17.184,87.817,40.59
17.187,15.35,21.584
17.187,15.35,22.606
17.195,87.856,41.614
17.351,15.431,21.611
17.351,15.431,22.633
17.375,88.842,40.798
17.376,88.842,41.818
17.757,86.331,40.244
17.841,86.215,41.239
17.844,15.673,21.692
17.844,15.673,22.714
17.88,22.166,23.091
17.905,22.049,24.091
17.938,15.718,21.708
17.938,15.718,22.729
17.985,15.741,21.716
18.032,15.764,21.724
18.032,15.764,22.745
18.076,71.043,36.439
18.171,70.893,37.429
18.252,93.606,42.8
18.352,15.918,21.778
18.352,15.918,22.799
18.527,95.013,42.049
18.53,57.508,33.699
18.759,16.108,22.867
18.783,16.119,21.85
18.816,16.135,21.856
18.816,16.135,22.877
18.933,16.189,21.875
18.933,16.189,22.896
19.282,16.351,21.935
19.282,16.351,22.955
19.336,98.877,42.74
19.352,98.986,43.786
19.583,100.12,43.994
19.643,16.523,21.998
19.643,16.523,23.018
