51,207,24.848,0.034184,-0.2688,0.96259
53,207,25.407,0.034184,-0.2688,0.96259
55,205,25.894,0.034184,-0.2688,0.96259
55,207,25.965,0.034184,-0.2688,0.96259
57,205,26.453,0.034184,-0.2688,0.96259
57,207,26.524,0.034184,-0.2688,0.96259
59,203,26.94,0.034184,-0.2688,0.96259
59,205,27.011,0.034184,-0.2688,0.96259
61,203,27.499,0.034184,-0.2688,0.96259
61,205,27.57,0.034184,-0.2688,0.96259
63,205,28.128,0.034184,-0.2688,0.96259
65,205,28.687,0.034184,-0.2688,0.96259
169,177,34.372,0.049494,0.12419,0.99102
171,175,34.021,0.049494,0.12419,0.99102
171,177,34.121,0.049494,0.12419,0.99102
157,189,40.995,0.64586,0.09864,0.75705
155,189,41.279,0.67489,0.10541,0.73035
107,197,39.519,0.10167,-0.22228,0.96967
107,199,39.728,0.10167,-0.22228,0.96967
109,197,39.977,0.10167,-0.22228,0.96967
109,199,40.187,0.10167,-0.22228,0.96967
41,203,22.279,-0.010465,-0.22991,0.97315
43,211,22.687,-0.046888,-0.2487,0.96745
45,211,23.201,-0.046888,-0.2487,0.96745
119,199,42.321,0.059389,-0.18791,0.98039
145,193,44.863,0.34663,-0.035772,0.93732
177,183,34.076,0.29694,0.21066,0.93137
83,183,30.59,0.32952,-0.23058,0.91556
85,183,31.094,0.32952,-0.23058,0.91556
51,193,24.537,0.035048,-0.20073,0.97902
53,193,24.947,0.035048,-0.20073,0.97902
43,197,22.857,-0.055226,-0.17195,0.98356
45,195,23.319,-0.055226,-0.17195,0.98356
41,197,22.503,-0.085693,-0.18441,0.97911
61,191,26.692,0.13434,-0.22517,0.96501
63,191,27.159,0.17151,-0.25552,0.95147
67,189,27.873,0.17151,-0.25552,0.95147
69,189,28.41,0.17151,-0.25552,0.95147
63,189,26.88,0.13434,-0.22517,0.96501
65,189,27.347,0.13434,-0.22517,0.96501
73,187,29.05,0.21478,-0.231,0.94895
75,185,29.085,0.21478,-0.231,0.94895
71,187,28.552,0.20742,-0.24505,0.94706
